UserId,SPH,UOM,UOC,PDF
62f3575ab51f8a773cde8ed1,109,43.0,36.3,0
62f3575ab51f8a773cde8ed1,91,17.6,0.7,0
62f3575ab51f8a773cde8ed1,185,70.4,50.1,0
62f3575ab51f8a773cde8ed1,175,65.3,55.3,0
62f3575ab51f8a773cde8ed1,163,61.8,59.8,0
62f3575ab51f8a773cde8ed1,51,18.4,23.4,0
62f3575ab51f8a773cde8ed1,178,62.8,63.8,0
62f3575ab51f8a773cde8ed1,180,72.9,70.1,0
62f3575ab51f8a773cde8ed1,55,17.5,24.1,0
62f3575ab51f8a773cde8ed1,68,24.5,22.7,0
62f3575ab51f8a773cde8ed1,143,48.9,33.1,0
62f3575ab51f8a773cde8ed1,69,8.4,18.5,0
62f3575ab51f8a773cde8ed1,144,48.7,25.4,0
62f3575ab51f8a773cde8ed1,83,24.9,6.5,0
62f3575ab51f8a773cde8ed1,172,50.8,64.8,0
62f3575ab51f8a773cde8ed1,168,62.1,61.2,0
62f3575ab51f8a773cde8ed1,163,66.7,66.6,0
62f3575ab51f8a773cde8ed1,61,18.2,14.4,0
62f3575ab51f8a773cde8ed1,146,43.0,36.9,0
62f3575ab51f8a773cde8ed1,169,56.2,73.9,0
62f3575ab51f8a773cde8ed1,108,31.1,42.3,0
62f3575ab51f8a773cde8ed1,156,51.2,58.3,0
62f3575ab51f8a773cde8ed1,155,69.5,73.0,0
62f3575ab51f8a773cde8ed1,159,72.6,69.3,0
62f3575ab51f8a773cde8ed1,93,17.8,23.7,0
62f3575ab51f8a773cde8ed1,89,9.4,23.3,0
62f3575ab51f8a773cde8ed1,155,52.1,67.5,0
62f3575ab51f8a773cde8ed1,86,23.1,21.7,0
62f3575ab51f8a773cde8ed1,131,32.7,49.0,0
62f3575ab51f8a773cde8ed1,114,36.7,36.0,0
62f3575ab51f8a773cde8ed1,169,51.6,57.2,0
62f3575ab51f8a773cde8ed1,112,48.7,40.7,0
62f3575ab51f8a773cde8ed1,134,36.3,35.6,0
62f3575ab51f8a773cde8ed1,92,1.9,19.3,0
62f3575ab51f8a773cde8ed1,142,31.7,29.6,0
62f3575ab51f8a773cde8ed1,185,57.1,56.0,0
62f3575ab51f8a773cde8ed1,73,18.9,17.2,0
62f3575ab51f8a773cde8ed1,191,54.6,57.1,0
62f3575ab51f8a773cde8ed1,125,44.5,25.6,0
62f3575ab51f8a773cde8ed1,128,45.6,30.7,0
62f3575ab51f8a773cde8ed1,188,62.0,65.8,0
62f3575ab51f8a773cde8ed1,143,48.6,28.0,0
62f3575ab51f8a773cde8ed1,112,49.0,45.9,0
62f3575ab51f8a773cde8ed1,179,53.9,73.9,0
62f3575ab51f8a773cde8ed1,150,47.3,27.4,0
62f3575ab51f8a773cde8ed1,75,6.8,1.1,0
62f3575ab51f8a773cde8ed1,114,40.1,37.4,0
62f3575ab51f8a773cde8ed1,139,25.6,41.5,0
62f3575ab51f8a773cde8ed1,105,25.6,26.7,0
62f3575ab51f8a773cde8ed1,140,33.9,30.5,0
62f3575ab51f8a773cde8ed1,176,61.1,65.1,0
62f3575ab51f8a773cde8ed1,132,38.8,40.3,0
62f3575ab51f8a773cde8ed1,74,13.1,17.6,0
62f3575ab51f8a773cde8ed1,171,69.6,71.7,0
62f3575ab51f8a773cde8ed1,146,39.2,32.4,0
62f3575ab51f8a773cde8ed1,153,70.2,62.9,0
62f3575ab51f8a773cde8ed1,193,71.1,50.2,0
62f3575ab51f8a773cde8ed1,146,45.3,46.5,0
62f3575ab51f8a773cde8ed1,59,11.8,0.8,0
62f3575ab51f8a773cde8ed1,108,28.3,46.3,0
62f3575ab51f8a773cde8ed1,194,54.6,61.4,0
62f3575ab51f8a773cde8ed1,127,40.7,29.8,0
62f3575ab51f8a773cde8ed1,78,4.9,17.7,0
62f3575ab51f8a773cde8ed1,170,71.7,73.9,0
62f3575ab51f8a773cde8ed1,155,74.7,58.1,0
62f3575ab51f8a773cde8ed1,114,34.5,43.0,0
62f3575ab51f8a773cde8ed1,129,25.5,30.4,0
62f3575ab51f8a773cde8ed1,166,52.0,67.1,0
62f3575ab51f8a773cde8ed1,113,40.6,26.8,0
62f3575ab51f8a773cde8ed1,91,12.8,2.0,0
62f3575ab51f8a773cde8ed1,70,19.3,16.2,0
62f3575ab51f8a773cde8ed1,94,10.2,15.8,0
62f3575ab51f8a773cde8ed1,103,33.3,47.1,0
62f3575ab51f8a773cde8ed1,116,40.8,31.8,0
62f3575ab51f8a773cde8ed1,72,24.1,8.6,0
62f3575ab51f8a773cde8ed1,72,16.3,12.4,0
62f3575ab51f8a773cde8ed1,165,57.0,50.9,0
62f3575ab51f8a773cde8ed1,190,57.1,71.2,0
62f3575ab51f8a773cde8ed1,109,34.9,29.8,0
62f3575ab51f8a773cde8ed1,153,56.8,57.5,0
62f3575ab51f8a773cde8ed1,195,74.4,61.6,0
62f3575ab51f8a773cde8ed1,100,5.7,15.5,0
62f3575ab51f8a773cde8ed1,94,15.6,0.5,0
62f3575ab51f8a773cde8ed1,102,36.4,36.9,0
62f3575ab51f8a773cde8ed1,96,21.1,18.9,0
62f3575ab51f8a773cde8ed1,197,66.8,55.7,0
62f3575ab51f8a773cde8ed1,108,28.0,48.5,0
62f3575ab51f8a773cde8ed1,183,65.7,62.9,0
62f3575ab51f8a773cde8ed1,135,30.8,48.3,0
62f3575ab51f8a773cde8ed1,148,44.2,27.7,0
62f3575ab51f8a773cde8ed1,67,4.7,12.4,0
62f3575ab51f8a773cde8ed1,194,72.1,69.3,0
62f3575ab51f8a773cde8ed1,163,63.1,74.8,0
62f3575ab51f8a773cde8ed1,52,8.1,0.2,0
62f3575ab51f8a773cde8ed1,143,41.4,45.6,0
62f3575ab51f8a773cde8ed1,196,57.6,52.6,0
62f3575ab51f8a773cde8ed1,182,54.1,74.6,0
62f3575ab51f8a773cde8ed1,153,67.3,65.5,0
62f3575ab51f8a773cde8ed1,73,20.1,17.5,0
62f3575ab51f8a773cde8ed1,125,34.2,25.9,0
62f3575ab51f8a773cde8ed1,73,15.1,10.5,0
62f3575ab51f8a773cde8ed1,99,10.4,18.1,0
62f3575ab51f8a773cde8ed1,148,35.2,49.3,0
62f3575ab51f8a773cde8ed1,84,5.5,24.5,0
62f3575ab51f8a773cde8ed1,62,12.4,1.8,0
62f3575ab51f8a773cde8ed1,94,2.0,19.0,0
62f3575ab51f8a773cde8ed1,69,24.5,10.8,0
62f3575ab51f8a773cde8ed1,64,18.9,17.7,0
62f3575ab51f8a773cde8ed1,173,64.1,64.9,0
62f3575ab51f8a773cde8ed1,153,65.9,62.2,0
62f3575ab51f8a773cde8ed1,73,24.9,17.6,0
62f3575ab51f8a773cde8ed1,60,19.8,1.1,0
62f3575ab51f8a773cde8ed1,172,55.3,60.8,0
62f3575ab51f8a773cde8ed1,111,33.0,28.8,0
62f3575ab51f8a773cde8ed1,67,23.3,16.2,0
